id,parameter_data_id,covidence_id,pathogen,parameter_type,parameter_value,exponent,parameter_unit,parameter_lower_bound,parameter_upper_bound,parameter_value_type,parameter_uncertainty_single_value,parameter_uncertainty_singe_type,parameter_uncertainty_lower_value,parameter_uncertainty_upper_value,parameter_uncertainty_type,cfr_ifr_numerator,cfr_ifr_denominator,distribution_type,distribution_par1_value,distribution_par1_type,distribution_par1_uncertainty,distribution_par2_value,distribution_par2_type,distribution_par2_uncertainty,method_from_supplement,method_moment_value,cfr_ifr_method,method_r,method_disaggregated_by,method_disaggregated,method_disaggregated_only,riskfactor_outcome,riskfactor_name,riskfactor_occupation,riskfactor_significant,riskfactor_adjusted,population_sex,population_sample_type,population_group,population_age_min,population_age_max,population_sample_size,population_country,population_location,population_study_start_day,population_study_start_month,population_study_start_year,population_study_end_day,population_study_end_month,population_study_end_year,genome_site,genomic_sequence_available,other_delay_start,other_delay_end,inverse_param,parameter_from_figure,r_pathway,parameter_class,parameter_bounds,comb_uncertainty_type,comb_uncertainty
36713db2290760abfbf66d3613f24e57,b6f1e943ecf9c00f7ebab0b9946ae1c3,870,Lassa mammarenavirus,Severity - case fatality rate (CFR),100.0,0.0,Percentage (%),,,Unspecified,,,,,,2.0,2.0,,,,False,,,False,False,Unspecified,Unspecified,,,False,False,,,,,,Unspecified,Hospital based,Children,,,2.0,Liberia,"Curran Lutheran Hospital, Zorzor",,Jul 07,1980.0,,Apr 04,1982.0,,False,,,False,False,,Severity,,,
36713db2290760abfbf66d3613f24e57,da9fa041f50f60ae429c2f31f1132865,870,Lassa mammarenavirus,Severity - case fatality rate (CFR),66.7,0.0,Percentage (%),,,Unspecified,,,,,,2.0,3.0,,,,False,,,False,False,Unspecified,Unspecified,,,False,False,,,,,,Female,Hospital based,Pregnant women,,,3.0,Liberia,"Curran Lutheran Hospital, Zorzor",,Jul 07,1980.0,,Apr 04,1982.0,,False,,,False,False,,Severity,,,
36713db2290760abfbf66d3613f24e57,103870c66eddfe438c139e614d1ae32c,870,Lassa mammarenavirus,Severity - case fatality rate (CFR),13.6,0.0,Percentage (%),,,Unspecified,,,,,,6.0,44.0,,,,False,,,False,False,Unspecified,Unspecified,,"Age, Other, Sex",True,False,,,,,,Both,Hospital based,Persons under investigation,,,44.0,Liberia,"Curran Lutheran Hospital, Zorzor",,Jul 07,1980.0,,Apr 04,1982.0,,False,,,False,False,,Severity,,,
f34ed57a5df66d4d53a6900a0964ecdd,6639c36ebd5f58e309c34f840c4793ac,871,Lassa mammarenavirus,Seroprevalence - IFA,1.5,0.0,Percentage (%),,,Unspecified,,,,,,2.0,135.0,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Unspecified,Hospital based,Children,0.0,12.0,161.0,Liberia,"Curran Lutheran Hospital, Zorzor, Lofa County",,Feb 02,1982.0,,Feb 02,1982.0,,False,,,False,False,,Seroprevalence,,,
f34ed57a5df66d4d53a6900a0964ecdd,7e88c7d13c546fbc813d71091995daac,871,Lassa mammarenavirus,Severity - case fatality rate (CFR),27.0,0.0,Percentage (%),,,Unspecified,,,,,,4.0,15.0,,,,False,,,False,False,Unspecified,Unspecified,,,False,False,,,,,,Unspecified,Hospital based,Children,0.0,12.0,15.0,Liberia,"Zorzor, Lofa County, Suakoko, Bong County",,,,,,,,False,,,False,False,,Severity,,,
f34ed57a5df66d4d53a6900a0964ecdd,0876c3a0abefe168d9a8e7421d2dd6ae,871,Lassa mammarenavirus,Severity - case fatality rate (CFR),17.0,0.0,Percentage (%),,,Unspecified,,,,,,3.0,18.0,,,,False,,,False,False,Unspecified,Unspecified,,,False,False,,,,,,Female,Hospital based,Pregnant women,,,18.0,Liberia,,,,,,,,,False,,,False,False,,Severity,,,
3fa95b605705c7e4ca5b52491dbfe7b5,3006374ca92b2761fe710bdd28c69513,873,Lassa mammarenavirus,Severity - case fatality rate (CFR),36.0,0.0,Percentage (%),,,Unspecified,,,,,,4.0,11.0,,,,False,,,False,False,Unspecified,Unspecified,,,False,False,,,,,,Unspecified,Hospital based,Persons under investigation,,,11.0,Liberia,Zorzor,,Mar 03,1972.0,,Apr 04,1972.0,,False,,,False,False,,Severity,,,
3fa95b605705c7e4ca5b52491dbfe7b5,c34d3391f36f7bfe359134881ad8d85a,873,Lassa mammarenavirus,Seroprevalence - Unspecified,,0.0,,,,,,,,,,2.0,17.0,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Unspecified,Hospital based,Healthcare workers,,,17.0,Liberia,Zorzor,,Mar 03,1972.0,,Apr 04,1972.0,,False,,,False,False,,Seroprevalence,,,
3fa95b605705c7e4ca5b52491dbfe7b5,cf2dde90043151e21a39f4ece6a25038,873,Lassa mammarenavirus,Seroprevalence - Unspecified,,0.0,,,,,,,,,,0.0,40.0,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Unspecified,Hospital based,Healthcare workers,,,40.0,Liberia,Zorzor,,Mar 03,1972.0,,Apr 04,1972.0,,False,,,False,False,,Seroprevalence,,,
3fa95b605705c7e4ca5b52491dbfe7b5,c1f419d52dcbf656c109fe412c6d5b96,873,Lassa mammarenavirus,Seroprevalence - Unspecified,,0.0,,,,,,,,,,0.0,22.0,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Unspecified,Contact based,Persons under investigation,,,22.0,Liberia,Zorzor,,Mar 03,1972.0,,Apr 04,1972.0,,False,,,False,False,,Seroprevalence,,,
3fa95b605705c7e4ca5b52491dbfe7b5,a19c1786c8baea3846dbd5eff8cc19f9,873,Lassa mammarenavirus,Seroprevalence - Unspecified,3.0,0.0,Percentage (%),,,Unspecified,,,,,,4.0,133.0,,,,False,,,False,False,Unspecified,,,,False,False,,,,,,Unspecified,Community based,General population,,,133.0,Liberia,Zigida,,Mar 03,1972.0,,Apr 04,1972.0,,False,,,False,False,,Seroprevalence,,,
45f8d2ecb0313c08ff0806319863b7bb,36b35a7cfdce0d55cd0758c210c31722,874,Lassa mammarenavirus,Severity - case fatality rate (CFR),8.0,0.0,Percentage (%),,,Unspecified,,,,,,1.0,12.0,,,,False,,,False,False,Unspecified,Unspecified,,,False,False,,,,,,Unspecified,Hospital based,Persons under investigation,,,12.0,Sierra Leone,"Panguma Catholic Hospital, Eastern Province",23.0,Sep 09,1972.0,15.0,Oct 10,1972.0,,False,,,False,False,,Severity,,,
